subject,relation,object
Hasidic voters,is in,South Williamsburg neighborhood of Brooklyn
Kristina Bentrim,vote at,polls in election
Kristina Bentrim,went,vote at polls
Kristina Bentrim,was,told
Kristina Bentrim,went,vote at polls in special election
Kristina Bentrim,went,vote
Kristina Bentrim,vote at,polls in special election
Kristina Bentrim,went,vote at polls in election on gambling referendum
Kristina Bentrim,vote at,polls in special election on gambling referendum
Kristina Bentrim,went,vote at polls in special election on gambling referendum
Kristina Bentrim,was,allegedly told
polls,is in,special election on gambling referendum
Kristina Bentrim,went,vote at polls in election
Kristina Bentrim,vote at,polls in election on gambling referendum
Kristina Bentrim,vote at,polls
vote,was,apparently cast at polls in name in general election
vote,was,apparently cast at polls in name in election
vote,was,cast at polls in name of Angela Cooney in election in San Diego
vote,was apparently cast in,name of Angela Cooney in election in San Diego
Angela Cooney,listed,dying earlier
vote,was apparently cast in,name in general election in San Diego
vote,was,apparently cast at polls in name of Angela Cooney
vote,was,cast at polls in name
vote,was,apparently cast at polls in name of Angela Cooney in general election in San Diego
vote,was cast in,name in general election in San Diego
vote,was,apparently cast at polls in name of Angela Cooney in election in San Diego
vote,was,apparently cast
vote,was,cast at polls in name of Angela Cooney in election
vote,was,cast
name,is in,general election
vote,was apparently cast at,polls
vote,was cast in,name in election in San Diego
vote,was cast in,name in general election
vote,was cast in,name
vote,was apparently cast in,name of Angela Cooney in general election in San Diego
vote,was cast in,name of Angela Cooney in general election
vote,was cast in,name of Angela Cooney
vote,was,apparently cast at polls in name in general election in San Diego
general election,is in,San Diego
vote,was apparently cast in,name in general election
vote,was,cast at polls in name in general election in San Diego
vote,was,cast at polls in name in general election
vote,was apparently cast in,name of Angela Cooney in election
Angela Cooney,listed,dying 4 years earlier
vote,was,apparently cast at polls in name of Angela Cooney in election
vote,was cast in,name of Angela Cooney in election
vote,was cast at,polls
vote,was cast in,name of Angela Cooney in general election in San Diego
vote,was apparently cast in,name in election
vote,was apparently cast in,name in election in San Diego
vote,was,apparently cast at polls in name in election in San Diego
vote,was cast in,name of Angela Cooney in election in San Diego
vote,was,apparently cast at polls in name of Angela Cooney in general election
vote,was,cast at polls in name in election
vote,was,cast at polls in name of Angela Cooney in general election
vote,was,cast at polls in name of Angela Cooney in general election in San Diego
vote,was apparently cast in,name
vote,was,apparently cast at polls in name
vote,was apparently cast in,name of Angela Cooney in general election
vote,was,cast at polls in name in election in San Diego
Angela Cooney,listed,dying
vote,was cast in,name in election
vote,was,cast at polls in name of Angela Cooney
vote,was apparently cast in,name of Angela Cooney
death reports,are,accurate
general election,is in,San Diego
Evan Dixon,listed,dying
Evan Dixon,listed,dying 11 years earlier
Evan Dixon,listed,dying earlier
vote,was,apparently cast at polls in name in general election
vote,was,apparently cast at polls in name in election
vote,was,apparently cast at polls in name of Alejandro Guerrero in election in San Diego
vote,was,apparently cast at polls in name of Alejandro Guerrero in general election
vote,was apparently cast in,name in general election in San Diego
vote,was,cast at polls in name
vote,was cast in,name in general election in San Diego
vote,was,cast at polls in name of Alejandro Guerrero in general election
vote,was,apparently cast
vote,was,cast
name,is in,general election
vote,was cast in,name of Alejandro Guerrero in election
vote,was apparently cast in,name of Alejandro Guerrero in election in San Diego
vote,was apparently cast at,polls
vote,was cast in,name of Alejandro Guerrero in general election in San Diego
vote,was cast in,name in election in San Diego
vote,was cast in,name in general election
vote,was cast in,name
vote,was,apparently cast at polls in name in general election in San Diego
vote,was apparently cast in,name of Alejandro Guerrero in election
general election,is in,San Diego
vote,was apparently cast in,name in general election
vote,was apparently cast in,name of Alejandro Guerrero in general election
vote,was,apparently cast at polls in name of Alejandro Guerrero in general election in San Diego
vote,was,cast at polls in name in general election in San Diego
vote,was,cast at polls in name in general election
vote,was cast in,name of Alejandro Guerrero
vote,was cast in,name of Alejandro Guerrero in general election
vote,was cast at,polls
vote,was apparently cast in,name of Alejandro Guerrero in general election in San Diego
vote,was apparently cast in,name in election
vote,was apparently cast in,name in election in San Diego
vote,was,apparently cast at polls in name in election in San Diego
vote,was cast in,name of Alejandro Guerrero in election in San Diego
Alejandro Guerrero,listed,dying
vote,was,cast at polls in name in election
vote,was apparently cast in,name
vote,was apparently cast in,name of Alejandro Guerrero
vote,was,cast at polls in name of Alejandro Guerrero in election in San Diego
vote,was,cast at polls in name of Alejandro Guerrero in general election in San Diego
vote,was,apparently cast at polls in name
vote,was,apparently cast at polls in name of Alejandro Guerrero
Alejandro Guerrero,listed,dying 5 years earlier
vote,was,cast at polls in name in election in San Diego
vote,was,cast at polls in name of Alejandro Guerrero
vote,was cast in,name in election
vote,was,apparently cast at polls in name of Alejandro Guerrero in election
Alejandro Guerrero,listed,dying earlier
vote,was,cast at polls in name of Alejandro Guerrero in election
one allegation,is in,2012
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name of his father in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name in runoff elections
polls,is in,name of his father
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in municipal runoff elections
her son Mark James Jr.,vote in,runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name in municipal runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name of his father in municipal runoff elections
her son Mark James Jr.,vote at,polls in name of his father
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote in municipal runoff elections
her son Mark James Jr.,vote in,municipal runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name in runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote in runoff elections
his,father,Mark James Sr.
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name of his father in runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name of his father
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name of his father in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name in municipal runoff elections in Tarrant County
municipal runoff elections,is in,Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in municipal runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name of his father
her son Mark James Jr.,vote at,polls
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote in municipal runoff elections in Tarrant County
her son Mark James Jr.,vote in,runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name
her son Mark James Jr.,vote in,municipal runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name of his father in municipal runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name of his father in runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote in runoff elections
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name in municipal runoff elections
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name of his father in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote in municipal runoff elections
her son Mark James Jr.,vote at,polls in name
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in municipal runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name of his father in runoff elections in Tarrant County
Hazel Brionne Woodard,apparently arranged,her son Mark James Jr. vote at polls in name in runoff elections in Tarrant County
Hazel Brionne Woodard,arranged,her son Mark James Jr. vote at polls in name in runoff elections in Tarrant County
ballots,been,may have cast in general election in South Carolina in name
ballots,been,may have cast in election in name
Four ballots,been,may have cast in name of voters
election enforcement officials,had,information
Four ballots,been,may have cast in election in name of voters
ballots,been,may have cast in general election
general election,is in,South Carolina
ballots,been,may have cast in general election in South Carolina in name of voters
insufficient information,come to,final conclusion including two pollbook pages
Four ballots,been,may have cast in general election in South Carolina
ballots,been,may have cast in general election in name of voters
Four ballots,been,may have cast in general election in name
insufficient information,come to,conclusion
insufficient information,come to,final conclusion
Four ballots,been,may have cast in general election in South Carolina in name
ballots,been,may have cast in election in South Carolina
Four ballots,been,may have cast in election
Four ballots,been,may have cast in name
Four ballots,been,may have cast in general election
information,come to,final conclusion
election enforcement officials,had,insufficient information
ballots,been,may have cast in name of voters
ballots,been,may have cast in election in South Carolina in name of voters
ballots,been,may have cast in name
Four ballots,been,may have cast in general election in South Carolina in name of voters
ballots,been,may have cast in general election in South Carolina
ballots,been,may have cast
information,come to,final conclusion including two pollbook pages
Four ballots,been,may have cast in election in South Carolina
ballots,been,may have cast in election in name of voters
ballots,been,may have cast in election in South Carolina in name
information,come to,conclusion including two pollbook pages
ballots,been,may have cast in election
Four ballots,been,may have cast in general election in name of voters
Four ballots,been,may have cast
Four ballots,been,may have cast in election in South Carolina in name
Four ballots,been,may have cast in election in name
insufficient information,come to,conclusion including two pollbook pages
Four ballots,been,may have cast in election in South Carolina in name of voters
ballots,been,may have cast in general election in name
information,come to,conclusion
his,son,Elbert Thompson
203 allegations,is in,same election
Lorenzo Antonio Almanza,apparently cast ballot in,name
Lorenzo Antonio Almanza,cast ballot in,2009 election for Progreso Independent School District Board
Lorenzo Antonio Almanza,apparently cast ballot in,name of his incarcerated brother
Lorenzo Antonio Almanza,cast ballot in,2009 election
Lorenzo Antonio Almanza,cast ballot in,name of his brother
Lorenzo Antonio Almanza,apparently cast ballot in,name of his brother
Lorenzo Antonio Almanza,cast ballot at,polls
Lorenzo Antonio Almanza,voting,himself
Lorenzo Antonio Almanza,apparently cast ballot in,2009 election
Lorenzo Antonio Almanza,cast,ballot
Lorenzo Antonio Almanza,apparently cast,ballot
Lorenzo Antonio Almanza,apparently cast ballot at,polls
Lorenzo Antonio Almanza,apparently cast ballot in,2009 election for Progreso Independent School District Board
Lorenzo Antonio Almanza,cast ballot in,name
Lorenzo Antonio Almanza,cast ballot in,name of his incarcerated brother
his,brother,Orlando Almanza
His mother,was,separately convicted
His mother,was,convicted
His mother,vouched for,him
His,mother,Reyna Almanza
vote,was,cast
vote,was,apparently cast in name in general election
vote,was,cast in name of Forrest Downie in election in San Diego
vote,was,cast in name of Forrest Downie in general election in San Diego
vote,was,cast at polls in name of Forrest Downie in election in San Diego
vote,was,apparently cast at polls in name in election in San Diego
vote,was,apparently cast at polls in name in general election in San Diego
vote,was,cast in name in election
Forrest Downie,listed,dying earlier
vote,was cast in,general election
vote,was,apparently cast
vote,was,cast at polls in name
vote,was,cast at polls in name of Forrest Downie in general election in San Diego
vote,was,apparently cast at polls in name of Forrest Downie in election in San Diego
vote,was,cast at polls in name of Forrest Downie in general election
vote,was,cast in name in election in San Diego
vote,was apparently cast in,name
vote,was,apparently cast in name in election in San Diego
Forrest Downie,listed,dying
vote,was,cast in name in general election in San Diego
vote,was,cast at polls in general election in San Diego
vote,was apparently cast in,election in San Diego
vote,was cast in,election in San Diego
vote,was,cast in name of Forrest Downie in general election
vote,was apparently cast in,name of Forrest Downie
vote,was,apparently cast at polls in name of Forrest Downie in general election
vote,was,cast in name of Forrest Downie in election
vote,was,cast at polls in name in general election in San Diego
vote,was,cast at polls in name in general election
general election,is in,San Diego
vote,was apparently cast in,election
vote,was cast in,election
vote,was,apparently cast at polls in name of Forrest Downie in general election in San Diego
vote,was,cast at polls in general election
Forrest Downie,listed,dying 3 years earlier
vote,was apparently cast in,general election in San Diego
vote,was,apparently cast at polls in name in election
vote,was,apparently cast at polls in name of Forrest Downie in election
vote,was apparently cast at,polls
vote,was,cast at polls in name in election in San Diego
vote,was,apparently cast at polls in name in general election
vote,was,apparently cast at polls in name
vote,was,cast at polls in election in San Diego
vote,was,cast at polls in election
vote,was,cast in name in general election
vote,was cast in,name of Forrest Downie
vote,was cast in,name
vote,was,apparently cast in name of Forrest Downie in general election
vote,was,apparently cast at polls in election
vote,was,apparently cast at polls in name of Forrest Downie
vote,was,cast at polls in name of Forrest Downie in election
vote,was,apparently cast in name in general election in San Diego
vote,was,cast at polls in name of Forrest Downie
vote,was,apparently cast at polls in general election in San Diego
vote,was,apparently cast in name of Forrest Downie in election
vote,was,apparently cast at polls in general election
vote,was,apparently cast at polls in election in San Diego
vote,was,cast at polls in name in election
vote,was cast in,general election in San Diego
vote,was,apparently cast in name of Forrest Downie in general election in San Diego
vote,was apparently cast in,general election
vote,was,apparently cast in name of Forrest Downie in election in San Diego
vote,was,apparently cast in name in election
vote,was cast at,polls
vote,was,apparently cast at polls in name in general election
vote,was,apparently cast at polls in name in election
vote,was apparently cast in,name in general election in San Diego
vote,was,cast at polls in name
vote,was,apparently cast at polls in name of Scott Hagloch in election
vote,was cast in,name in general election in San Diego
vote,was cast in,name of Scott Hagloch in election
vote,was,apparently cast
vote,was,cast
name,is in,general election
vote,was apparently cast at,polls
Scott Hagloch,listed,dying 2 years earlier
vote,was cast in,name in election in San Diego
vote,was cast in,name in general election
vote,was cast in,name
Scott Hagloch,listed,dying
vote,was apparently cast in,name of Scott Hagloch in general election
vote,was,apparently cast at polls in name in general election in San Diego
general election,is in,San Diego
vote,was apparently cast in,name in general election
vote,was,cast at polls in name of Scott Hagloch in general election in San Diego
vote,was,cast at polls in name in general election in San Diego
vote,was cast in,name of Scott Hagloch in election in San Diego
vote,was,cast at polls in name of Scott Hagloch in general election
vote,was,apparently cast at polls in name of Scott Hagloch in general election in San Diego
vote,was,cast at polls in name in general election
vote,was,cast at polls in name of Scott Hagloch in election
vote,was cast in,name of Scott Hagloch in general election
vote,was,apparently cast at polls in name of Scott Hagloch in general election
vote,was cast at,polls
vote,was apparently cast in,name in election
vote,was cast in,name of Scott Hagloch in general election in San Diego
vote,was apparently cast in,name in election in San Diego
vote,was apparently cast in,name of Scott Hagloch in election in San Diego
vote,was,apparently cast at polls in name in election in San Diego
vote,was,apparently cast at polls in name of Scott Hagloch
vote,was cast in,name of Scott Hagloch
vote,was,cast at polls in name of Scott Hagloch in election in San Diego
Scott Hagloch,listed,dying earlier
vote,was,cast at polls in name in election
vote,was apparently cast in,name
vote,was,cast at polls in name of Scott Hagloch
vote,was,apparently cast at polls in name
vote,was apparently cast in,name of Scott Hagloch in election
vote,was apparently cast in,name of Scott Hagloch in general election in San Diego
vote,was apparently cast in,name of Scott Hagloch
vote,was,apparently cast at polls in name of Scott Hagloch in election in San Diego
vote,was,cast at polls in name in election in San Diego
vote,was cast in,name in election
death reports,are,accurate
March 2008 presidential primary election,is in,Baytown
Jack Carol Crowder III,impersonated,his father
Jack Carol Crowder III,allegedly impersonated,his father
polls,is in,March 2008 presidential primary election
Jack Carol Crowder III,allegedly impersonated,Jack Carol Crowder
Jack Carol Crowder III,impersonated,Jack Carol Crowder
his,father,Jack Carol Crowder
Jack Carol Crowder III,using,his father 's voter registration card
father,has,voter registration card
vote,was,apparently cast at polls in statewide primary
vote,was,apparently cast at polls in primary in name
vote,was cast at,polls
vote,was,cast at polls in statewide primary in Hattiesburg
vote,was,cast at polls in primary in name of James E. Barnes
vote,was,cast in statewide primary in Hattiesburg in name of James E. Barnes
vote,was cast in,primary
vote,was apparently cast in,primary in Hattiesburg
vote,was,apparently cast at polls in primary in Hattiesburg
vote,was,cast in primary in name of James E. Barnes
vote,was,cast at polls in primary in Hattiesburg in name
vote,was,cast in primary in name
vote,was,cast at polls in statewide primary in name
vote,was,apparently cast in primary in name of James E. Barnes
vote,was,cast at polls in name
vote,was,apparently cast at polls in primary in Hattiesburg in name of James E. Barnes
vote,was apparently cast at,polls
vote,was,apparently cast at polls in statewide primary in name
vote,was apparently cast in,name
vote,was,apparently cast at polls in primary in name of James E. Barnes
vote,was,apparently cast in statewide primary in Hattiesburg in name
vote,was,cast at polls in primary in Hattiesburg
vote,was cast in,statewide primary
vote,was,cast at polls in statewide primary in name of James E. Barnes
vote,was cast in,name of James E. Barnes
vote,was cast in,statewide primary in Hattiesburg
vote,was,cast at polls in primary in name
vote,was,cast
vote,was,apparently cast in statewide primary in Hattiesburg in name of James E. Barnes
vote,was,cast in statewide primary in Hattiesburg in name
vote,was apparently cast in,statewide primary in Hattiesburg
vote,was,apparently cast
vote,was,cast in primary in Hattiesburg in name of James E. Barnes
vote,was,cast at polls in name of James E. Barnes
vote,was,apparently cast at polls in statewide primary in Hattiesburg
vote,was,cast at polls in statewide primary in Hattiesburg in name
vote,was,apparently cast in primary in name
vote,was,apparently cast at polls in statewide primary in Hattiesburg in name of James E. Barnes
vote,was,apparently cast in primary in Hattiesburg in name
vote,was,cast at polls in primary
vote,was,apparently cast in statewide primary in name of James E. Barnes
vote,was,cast at polls in primary in Hattiesburg in name of James E. Barnes
vote,was apparently cast in,statewide primary
vote,was,apparently cast at polls in statewide primary in Hattiesburg in name
vote,was cast in,primary in Hattiesburg
vote,was,apparently cast at polls in statewide primary in name of James E. Barnes
vote,was,apparently cast in primary in Hattiesburg in name of James E. Barnes
vote,was apparently cast in,primary
vote,was,cast in primary in Hattiesburg in name
vote,was,apparently cast at polls in primary
vote,was,cast at polls in statewide primary
vote,was,apparently cast at polls in primary in Hattiesburg in name
vote,was,cast at polls in statewide primary in Hattiesburg in name of James E. Barnes
vote,was,apparently cast at polls in name
vote,was,apparently cast at polls in name of James E. Barnes
vote,was,cast in statewide primary in name of James E. Barnes
vote,was,cast in statewide primary in name
vote,was apparently cast in,name of James E. Barnes
vote,was cast in,name
vote,was,apparently cast in statewide primary in name
vote,was,cast at polls in name of Stanley Dwayne Echols
vote,was,apparently cast at polls in statewide primary in name of Stanley Dwayne Echols
vote,was,apparently cast at polls in statewide primary
vote,was,apparently cast at polls in primary in name
vote,was cast at,polls
vote,was,cast at polls in statewide primary in Hattiesburg
vote,was,cast in statewide primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was cast in,primary
vote,was apparently cast in,primary in Hattiesburg
vote,was,apparently cast at polls in primary in Hattiesburg
vote,was,cast at polls in primary in Hattiesburg in name
vote,was,apparently cast in statewide primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,cast in primary in name
vote,was,cast at polls in statewide primary in name
vote,was,cast at polls in name
vote,was,apparently cast in primary in name of Stanley Dwayne Echols
vote,was,cast at polls in primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,cast in primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was apparently cast at,polls
vote,was,apparently cast at polls in statewide primary in name
vote,was apparently cast in,name
vote,was,apparently cast in statewide primary in Hattiesburg in name
vote,was,cast at polls in primary in Hattiesburg
vote,was,cast in primary in name of Stanley Dwayne Echols
vote,was cast in,statewide primary
vote,was cast in,statewide primary in Hattiesburg
vote,was,cast at polls in primary in name
vote,was,cast
vote,was,apparently cast in statewide primary in name of Stanley Dwayne Echols
vote,was,cast in statewide primary in Hattiesburg in name
vote,was apparently cast in,statewide primary in Hattiesburg
vote,was cast in,name of Stanley Dwayne Echols
vote,was,apparently cast
vote,was,apparently cast at polls in statewide primary in Hattiesburg
vote,was,apparently cast at polls in statewide primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,cast at polls in statewide primary in Hattiesburg in name
vote,was,apparently cast in primary in name
vote,was,apparently cast at polls in primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,apparently cast at polls in name of Stanley Dwayne Echols
vote,was,cast at polls in statewide primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,apparently cast in primary in Hattiesburg in name
vote,was,cast at polls in primary
vote,was apparently cast in,statewide primary
vote,was,apparently cast at polls in statewide primary in Hattiesburg in name
vote,was cast in,primary in Hattiesburg
vote,was,cast at polls in primary in name of Stanley Dwayne Echols
vote,was apparently cast in,primary
vote,was,cast at polls in statewide primary in name of Stanley Dwayne Echols
vote,was,cast in primary in Hattiesburg in name
vote,was,apparently cast at polls in primary
vote,was,cast at polls in statewide primary
vote,was,apparently cast at polls in primary in Hattiesburg in name
vote,was,apparently cast at polls in primary in name of Stanley Dwayne Echols
vote,was,apparently cast in primary in Hattiesburg in name of Stanley Dwayne Echols
vote,was,apparently cast at polls in name
vote,was,cast in statewide primary in name of Stanley Dwayne Echols
vote,was,cast in statewide primary in name
vote,was apparently cast in,name of Stanley Dwayne Echols
vote,was cast in,name
vote,was,apparently cast in statewide primary in name
someone,voted in,their place
someone,went to,polls
municipal runoff election,is in,Hoboken
instances,is in,election
two contending city council candidates,is in,municipal runoff election
someone else,voted in,their place
candidates,learned of,them
vote,was,cast
vote,was,apparently cast at polls in budget referendum
vote,was,cast at polls in budget referendum in Stonington in name
vote,was,cast in budget referendum in name of Jane M. Drury
vote,was,apparently cast in municipal budget referendum in Stonington in name of Jane M. Drury
vote,was apparently cast in,name of Jane M. Drury
vote,was,apparently cast in municipal budget referendum in Stonington in name
vote,was,cast at polls in budget referendum in Stonington
vote,was,cast at polls in budget referendum in name of Jane M. Drury
vote,was,cast at polls in municipal budget referendum in name of Jane M. Drury
vote,was,cast at polls in municipal budget referendum
vote,was cast in,name of Jane M. Drury
vote,was,apparently cast
vote,was,cast at polls in name
vote,was,cast in budget referendum in Stonington in name
vote,was,cast in budget referendum in Stonington in name of Jane M. Drury
vote,was apparently cast in,name
vote,was,cast in municipal budget referendum in name of Jane M. Drury
vote,was,apparently cast at polls in municipal budget referendum in name of Jane M. Drury
vote,was,cast at polls in name of Jane M. Drury
vote,was,apparently cast at polls in municipal budget referendum in Stonington in name of Jane M. Drury
vote,was,cast at polls in budget referendum in name
vote,was,cast in municipal budget referendum in Stonington in name of Jane M. Drury
vote,was apparently cast in,municipal budget referendum
vote,was,apparently cast at polls in budget referendum in Stonington in name
vote,was,cast at polls in municipal budget referendum in Stonington in name
vote,was cast in,budget referendum
vote,was,apparently cast in budget referendum in name
vote,was,apparently cast at polls in budget referendum in name
vote,was,cast at polls in municipal budget referendum in Stonington in name of Jane M. Drury
vote,was,apparently cast in budget referendum in Stonington in name
vote,was apparently cast at,polls
vote,was,cast at polls in municipal budget referendum in Stonington
vote,was,apparently cast in municipal budget referendum in name of Jane M. Drury
vote,was,apparently cast at polls in name
vote,was,cast in municipal budget referendum in name
vote,was,apparently cast at polls in municipal budget referendum
